lane,month,first_reject_stage,candidates,wins_if_taken,losses_if_taken,counterfactual_net_R,selected_count
V9.6.1_REFERENCE,2025-05,META_PROBABILITY,1,1,0,1.8302692507302938,0
V9.6.1_REFERENCE,2025-05,ONLINE_RANK,22,3,19,-10.895309801305228,0
V9.6.1_REFERENCE,2025-06,META_PROBABILITY,11,1,10,-5.115781200579805,0
V9.6.1_REFERENCE,2025-06,ONLINE_RANK,17,9,8,9.721145995466669,0
V9.6.1_REFERENCE,2025-07,ONLINE_RANK,6,0,6,-5.426282283067227,0
V9.6.1_REFERENCE,2025-08,MODEL_UNAVAILABLE,10,4,6,4.165617898681078,0
V9.6.1_REFERENCE,2025-09,MODEL_UNAVAILABLE,17,1,16,-8.543355957340928,0
V9.6.1_REFERENCE,2025-10,MODEL_UNAVAILABLE,33,9,24,-3.9264912238615564,0
V9.6.1_REFERENCE,2025-11,META_PROBABILITY,13,4,9,-0.5696535574761177,0
V9.6.1_REFERENCE,2025-11,ONLINE_RANK,26,10,16,8.90957537776536,0
V9.6.1_REFERENCE,2025-12,ONLINE_RANK,21,6,15,-1.892427885563542,0
V9.6.1_REFERENCE,2025-12,SELECTED,1,1,0,1.890496985958381,1
V9.6.1_REFERENCE,2026-01,MONTHLY_TARGET_CAP,3,0,3,-1.4375063832249864,0
V9.6.1_REFERENCE,2026-01,ONLINE_RANK,13,2,11,-7.9522539025169126,0
V9.6.1_REFERENCE,2026-01,SELECTED,3,2,1,2.451668073609892,3
V9.6.1_REFERENCE,2026-02,META_PROBABILITY,11,2,9,-2.865650967489029,0
V9.6.1_REFERENCE,2026-02,ONLINE_RANK,18,4,14,-4.236552490180391,0
V9.6.1_REFERENCE,2026-03,META_PROBABILITY,4,1,3,0.2532690330593266,0
V9.6.1_REFERENCE,2026-03,ONLINE_RANK,19,7,12,6.03719662553242,0
V9.6.1_REFERENCE,2026-04,MONTHLY_TARGET_CAP,4,0,4,-3.8067599788925284,0
V9.6.1_REFERENCE,2026-04,ONLINE_RANK,15,4,11,-4.376989740083999,0
V9.6.1_REFERENCE,2026-04,SELECTED,3,2,1,2.5200297986045515,3
V9.6.1_REFERENCE,2026-05,META_PROBABILITY,1,0,1,-1.271428067132503,0
V9.6.1_REFERENCE,2026-05,ONLINE_RANK,9,4,5,3.3381460297763423,0
